"","Description","Chromosome.Name","Gene.Start..bp.","Gene.End..bp.","Associated.Gene.Name","Gene.Biotype","symbol","id"
"ENSG00000189409","matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:7171]","1",1567474,1570639,"MMP23B","protein_coding","MMP23B","ENSG00000189409"
"ENSG00000248333","cyclin-dependent kinase 11B [Source:HGNC Symbol;Acc:1729]","1",1570603,1590473,"CDK11B","protein_coding","CDK11B","ENSG00000248333"
"ENSG00000189339","solute carrier family 35, member E2B [Source:HGNC Symbol;Acc:33941]","1",1592939,1624167,"SLC35E2B","protein_coding","SLC35E2B","ENSG00000189339"
"ENSG00000008128","cyclin-dependent kinase 11A [Source:HGNC Symbol;Acc:1730]","1",1634169,1655766,"CDK11A","protein_coding","CDK11A","ENSG00000008128"
"ENSG00000008130","NAD kinase [Source:HGNC Symbol;Acc:29831]","1",1682671,1711896,"NADK","protein_coding","NADK","ENSG00000008130"
"ENSG00000078369","guanine nucleotide binding protein (G protein), beta polypeptide 1 [Source:HGNC Symbol;Acc:4396]","1",1716729,1822495,"GNB1","protein_coding","GNB1","ENSG00000078369"
"ENSG00000162585","chromosome 1 open reading frame 86 [Source:HGNC Symbol;Acc:26428]","1",2115903,2144159,"C1orf86","protein_coding","C1orf86","ENSG00000162585"
"ENSG00000157916","retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:30309]","1",2323267,2336883,"RER1","protein_coding","RER1","ENSG00000157916"
"ENSG00000149527","phospholipase C, eta 2 [Source:HGNC Symbol;Acc:29037]","1",2357419,2436969,"PLCH2","protein_coding","PLCH2","ENSG00000149527"
"ENSG00000157873","tumor necrosis factor receptor superfamily, member 14 [Source:HGNC Symbol;Acc:11912]","1",2487078,2496821,"TNFRSF14","protein_coding","TNFRSF14","ENSG00000157873"
"ENSG00000157870","family with sequence similarity 213, member B [Source:HGNC Symbol;Acc:28390]","1",2517930,2522908,"FAM213B","protein_coding","FAM213B","ENSG00000157870"
"ENSG00000116213","WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:12759]","1",3547331,3569325,"WRAP73","protein_coding","WRAP73","ENSG00000116213"
"ENSG00000130764","leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:29207]","1",3696784,3713068,"LRRC47","protein_coding","LRRC47","ENSG00000130764"
"ENSG00000116198","centrosomal protein 104kDa [Source:HGNC Symbol;Acc:24866]","1",3728645,3773778,"CEP104","protein_coding","CEP104","ENSG00000116198"
"ENSG00000198912","chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:27915]","1",3805689,3816857,"C1orf174","protein_coding","C1orf174","ENSG00000198912"
"ENSG00000069424","potassium voltage-gated channel, shaker-related subfamily, beta member 2 [Source:HGNC Symbol;Acc:6229]","1",6051526,6161253,"KCNAB2","protein_coding","KCNAB2","ENSG00000069424"
"ENSG00000116251","ribosomal protein L22 [Source:HGNC Symbol;Acc:10315]","1",6241329,6269449,"RPL22","protein_coding","RPL22","ENSG00000116251"
"ENSG00000116237","isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:5350]","1",6281253,6296032,"ICMT","protein_coding","ICMT","ENSG00000116237"
"ENSG00000097021","acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:24157]","1",6324329,6454451,"ACOT7","protein_coding","ACOT7","ENSG00000097021"
"ENSG00000215788","tumor necrosis factor receptor superfamily, member 25 [Source:HGNC Symbol;Acc:11910]","1",6521211,6526255,"TNFRSF25","protein_coding","TNFRSF25","ENSG00000215788"
"ENSG00000162408","nucleolar protein 9 [Source:HGNC Symbol;Acc:26265]","1",6581407,6614595,"NOL9","protein_coding","NOL9","ENSG00000162408"
"ENSG00000204859","zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:4930]","1",6640061,6649340,"ZBTB48","protein_coding","ZBTB48","ENSG00000204859"
"ENSG00000007923","DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]","1",6694228,6761984,"DNAJC11","protein_coding","DNAJC11","ENSG00000007923"
"ENSG00000171735","calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:18806]","1",6845384,7829766,"CAMTA1","protein_coding","CAMTA1","ENSG00000171735"
"ENSG00000049245","vesicle-associated membrane protein 3 [Source:HGNC Symbol;Acc:12644]","1",7831329,7841492,"VAMP3","protein_coding","VAMP3","ENSG00000049245"
"ENSG00000049247","urotensin 2 [Source:HGNC Symbol;Acc:12636]","1",7903143,7913572,"UTS2","protein_coding","UTS2","ENSG00000049247"
"ENSG00000116288","parkinson protein 7 [Source:HGNC Symbol;Acc:16369]","1",8014351,8045565,"PARK7","protein_coding","PARK7","ENSG00000116288"
"ENSG00000142599","arginine-glutamic acid dipeptide (RE) repeats [Source:HGNC Symbol;Acc:9965]","1",8412457,8877702,"RERE","protein_coding","RERE","ENSG00000142599"
"ENSG00000074800","enolase 1, (alpha) [Source:HGNC Symbol;Acc:3350]","1",8921061,8939308,"ENO1","protein_coding","ENO1","ENSG00000074800"
"ENSG00000049239","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:HGNC Symbol;Acc:4795]","1",9294834,9331396,"H6PD","protein_coding","H6PD","ENSG00000049239"
"ENSG00000171612","solute carrier family 25 (pyrimidine nucleotide carrier), member 33 [Source:HGNC Symbol;Acc:29681]","1",9599541,9645237,"SLC25A33","protein_coding","SLC25A33","ENSG00000171612"
"ENSG00000171608","phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta [Source:HGNC Symbol;Acc:8977]","1",9711790,9789172,"PIK3CD","protein_coding","PIK3CD","ENSG00000171608"
"ENSG00000171603","calsyntenin 1 [Source:HGNC Symbol;Acc:17447]","1",9789084,9884584,"CLSTN1","protein_coding","CLSTN1","ENSG00000171603"
"ENSG00000178585","catenin, beta interacting protein 1 [Source:HGNC Symbol;Acc:16913]","1",9908334,9970394,"CTNNBIP1","protein_coding","CTNNBIP1","ENSG00000178585"
"ENSG00000162441","leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:17497]","1",9982173,10003465,"LZIC","protein_coding","LZIC","ENSG00000162441"
"ENSG00000162444","retinol binding protein 7, cellular [Source:HGNC Symbol;Acc:30316]","1",10057264,10076078,"RBP7","protein_coding","RBP7","ENSG00000162444"
"ENSG00000130939","ubiquitination factor E4B [Source:HGNC Symbol;Acc:12500]","1",10092890,10241297,"UBE4B","protein_coding","UBE4B","ENSG00000130939"
"ENSG00000054523","kinesin family member 1B [Source:HGNC Symbol;Acc:16636]","1",10270863,10441661,"KIF1B","protein_coding","KIF1B","ENSG00000054523"
"ENSG00000142657","phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:8891]","1",10458649,10480201,"PGD","protein_coding","PGD","ENSG00000142657"
"ENSG00000160049","DNA fragmentation factor, 45kDa, alpha polypeptide [Source:HGNC Symbol;Acc:2772]","1",10516579,10532583,"DFFA","protein_coding","DFFA","ENSG00000160049"
"ENSG00000120948","TAR DNA binding protein [Source:HGNC Symbol;Acc:11571]","1",11072414,11085796,"TARDBP","protein_coding","TARDBP","ENSG00000120948"
"ENSG00000116649","spermidine synthase [Source:HGNC Symbol;Acc:11296]","1",11114641,11120081,"SRM","protein_coding","SRM","ENSG00000116649"
"ENSG00000171824","exosome component 10 [Source:HGNC Symbol;Acc:9138]","1",11126675,11159938,"EXOSC10","protein_coding","EXOSC10","ENSG00000171824"
"ENSG00000120942","UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:30791]","1",11333263,11356106,"UBIAD1","protein_coding","UBIAD1","ENSG00000120942"
"ENSG00000132879","F-box protein 44 [Source:HGNC Symbol;Acc:24847]","1",11714432,11723384,"FBXO44","protein_coding","FBXO44","ENSG00000132879"
"ENSG00000116663","F-box protein 6 [Source:HGNC Symbol;Acc:13585]","1",11724181,11734411,"FBXO6","protein_coding","FBXO6","ENSG00000116663"
"ENSG00000116670","MAD2 mitotic arrest deficient-like 2 (yeast) [Source:HGNC Symbol;Acc:6764]","1",11734537,11751707,"MAD2L2","protein_coding","MAD2L2","ENSG00000116670"
"ENSG00000177674","angiotensin II receptor-associated protein [Source:HGNC Symbol;Acc:13539]","1",11796141,11814859,"AGTRAP","protein_coding","AGTRAP","ENSG00000177674"
"ENSG00000177000","methylenetetrahydrofolate reductase (NAD(P)H) [Source:HGNC Symbol;Acc:7436]","1",11845780,11866977,"MTHFR","protein_coding","MTHFR","ENSG00000177000"
"ENSG00000116685","KIAA2013 [Source:HGNC Symbol;Acc:28513]","1",11979648,11986485,"KIAA2013","protein_coding","KIAA2013","ENSG00000116685"
"ENSG00000083444","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:9081]","1",11994262,12035595,"PLOD1","protein_coding","PLOD1","ENSG00000083444"
"ENSG00000116688","mitofusin 2 [Source:HGNC Symbol;Acc:16877]","1",12040238,12073571,"MFN2","protein_coding","MFN2","ENSG00000116688"
"ENSG00000116691","migration and invasion inhibitory protein [Source:HGNC Symbol;Acc:25715]","1",12079523,12092102,"MIIP","protein_coding","MIIP","ENSG00000116691"
"ENSG00000120949","tumor necrosis factor receptor superfamily, member 8 [Source:HGNC Symbol;Acc:11923]","1",12123434,12204264,"TNFRSF8","protein_coding","TNFRSF8","ENSG00000120949"
"ENSG00000028137","tumor necrosis factor receptor superfamily, member 1B [Source:HGNC Symbol;Acc:11917]","1",12227060,12269285,"TNFRSF1B","protein_coding","TNFRSF1B","ENSG00000028137"
"ENSG00000048707","vacuolar protein sorting 13 homolog D (S. cerevisiae) [Source:HGNC Symbol;Acc:23595]","1",12290124,12572099,"VPS13D","protein_coding","VPS13D","ENSG00000048707"
"ENSG00000162496","dehydrogenase/reductase (SDR family) member 3 [Source:HGNC Symbol;Acc:17693]","1",12627939,12677737,"DHRS3","protein_coding","DHRS3","ENSG00000162496"
"ENSG00000116731","PR domain containing 2, with ZNF domain [Source:HGNC Symbol;Acc:9347]","1",14026693,14151574,"PRDM2","protein_coding","PRDM2","ENSG00000116731"
"ENSG00000142634","EF-hand domain family, member D2 [Source:HGNC Symbol;Acc:28670]","1",15736391,15756839,"EFHD2","protein_coding","EFHD2","ENSG00000142634"
"ENSG00000116771","agmatine ureohydrolase (agmatinase) [Source:HGNC Symbol;Acc:18407]","1",15898848,15911605,"AGMAT","protein_coding","AGMAT","ENSG00000116771"
"ENSG00000197312","DNA-damage inducible 1 homolog 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:24578]","1",15943995,15995539,"DDI2","protein_coding","DDI2","ENSG00000197312"
"ENSG00000116786","pleckstrin homology domain containing, family M (with RUN domain) member 2 [Source:HGNC Symbol;Acc:29131]","1",16010827,16061264,"PLEKHM2","protein_coding","PLEKHM2","ENSG00000116786"
"ENSG00000179743","","1",16160560,16174642,"RP11-169K16.9","antisense","RP11-169K16.9","ENSG00000179743"
"ENSG00000065526","spen family transcriptional repressor [Source:HGNC Symbol;Acc:17575]","1",16174359,16266955,"SPEN","protein_coding","SPEN","ENSG00000065526"
"ENSG00000037637","F-box protein 42 [Source:HGNC Symbol;Acc:29249]","1",16573334,16678949,"FBXO42","protein_coding","FBXO42","ENSG00000037637"
"ENSG00000055070","SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:30232]","1",16679070,16724640,"SZRD1","protein_coding","SZRD1","ENSG00000055070"
"ENSG00000157191","NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:25528]","1",16767167,16786573,"NECAP2","protein_coding","NECAP2","ENSG00000157191"
"ENSG00000215908","ciliary rootlet coiled-coil, rootletin pseudogene 2 [Source:HGNC Symbol;Acc:28170]","1",16944751,16971178,"CROCCP2","lincRNA","CROCCP2","ENSG00000215908"
"ENSG00000238142","","1",17215033,17216144,"RP11-108M9.4","lincRNA","RP11-108M9.4","ENSG00000238142"
"ENSG00000159363","ATPase type 13A2 [Source:HGNC Symbol;Acc:30213]","1",17312453,17338423,"ATP13A2","protein_coding","ATP13A2","ENSG00000159363"
"ENSG00000117118","succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:HGNC Symbol;Acc:10681]","1",17345217,17380665,"SDHB","protein_coding","SDHB","ENSG00000117118"
"ENSG00000117115","peptidyl arginine deiminase, type II [Source:HGNC Symbol;Acc:18341]","1",17393256,17445948,"PADI2","protein_coding","PADI2","ENSG00000117115"
"ENSG00000159339","peptidyl arginine deiminase, type IV [Source:HGNC Symbol;Acc:18368]","1",17634690,17690499,"PADI4","protein_coding","PADI4","ENSG00000159339"
"ENSG00000179051","regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:30297]","1",17733256,17766220,"RCC2","protein_coding","RCC2","ENSG00000179051"
"ENSG00000127481","ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:30313]","1",19401000,19536770,"UBR4","protein_coding","UBR4","ENSG00000127481"
"ENSG00000127463","ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:28957]","1",19542158,19578046,"EMC1","protein_coding","EMC1","ENSG00000127463"
"ENSG00000053372","mRNA turnover 4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18477]","1",19578033,19586622,"MRTO4","protein_coding","MRTO4","ENSG00000053372"
"ENSG00000053371","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:389]","1",19630459,19638640,"AKR7A2","protein_coding","AKR7A2","ENSG00000053371"
"ENSG00000077549","capping protein (actin filament) muscle Z-line, beta [Source:HGNC Symbol;Acc:1491]","1",19665267,19812066,"CAPZB","protein_coding","CAPZB","ENSG00000077549"
"ENSG00000173436","mitochondrial inner membrane organizing system 1 [Source:HGNC Symbol;Acc:32068]","1",19923477,19956314,"MINOS1","protein_coding","MINOS1","ENSG00000173436"
"ENSG00000158747","neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:7650]","1",19967048,19984945,"NBL1","protein_coding","NBL1","ENSG00000158747"
"ENSG00000225986","UBXN10 antisense RNA 1 [Source:HGNC Symbol;Acc:41141]","1",20510735,20512979,"UBXN10-AS1","antisense","UBXN10-AS1","ENSG00000225986"
"ENSG00000090432","mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:25762]","1",20825943,20834654,"MUL1","protein_coding","MUL1","ENSG00000090432"
"ENSG00000158825","cytidine deaminase [Source:HGNC Symbol;Acc:1712]","1",20915441,20945401,"CDA","protein_coding","CDA","ENSG00000158825"
"ENSG00000158828","PTEN induced putative kinase 1 [Source:HGNC Symbol;Acc:14581]","1",20959948,20978004,"PINK1","protein_coding","PINK1","ENSG00000158828"
"ENSG00000244038","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic) [Source:HGNC Symbol;Acc:2728]","1",20978270,20988000,"DDOST","protein_coding","DDOST","ENSG00000244038"
"ENSG00000127483","heterochromatin protein 1, binding protein 3 [Source:HGNC Symbol;Acc:24973]","1",21069154,21113816,"HP1BP3","protein_coding","HP1BP3","ENSG00000127483"
"ENSG00000075151","eukaryotic translation initiation factor 4 gamma, 3 [Source:HGNC Symbol;Acc:3298]","1",21132963,21503377,"EIF4G3","protein_coding","EIF4G3","ENSG00000075151"
"ENSG00000090686","ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:18533]","1",22004791,22110099,"USP48","protein_coding","USP48","ENSG00000090686"
"ENSG00000218510","long intergenic non-protein coding RNA 339 [Source:HGNC Symbol;Acc:25011]","1",22351681,22357716,"LINC00339","lincRNA","LINC00339","ENSG00000218510"
"ENSG00000070831","cell division cycle 42 [Source:HGNC Symbol;Acc:1736]","1",22379120,22419437,"CDC42","protein_coding","CDC42","ENSG00000070831"
"ENSG00000173372","complement component 1, q subcomponent, A chain [Source:HGNC Symbol;Acc:1241]","1",22962999,22966101,"C1QA","protein_coding","C1QA","ENSG00000173372"
"ENSG00000159189","complement component 1, q subcomponent, C chain [Source:HGNC Symbol;Acc:1245]","1",22970123,22974603,"C1QC","protein_coding","C1QC","ENSG00000159189"
"ENSG00000173369","complement component 1, q subcomponent, B chain [Source:HGNC Symbol;Acc:1242]","1",22979255,22988031,"C1QB","protein_coding","C1QB","ENSG00000173369"
"ENSG00000004487","lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]","1",23345941,23410182,"KDM1A","protein_coding","KDM1A","ENSG00000004487"
"ENSG00000169641","leucine zipper protein 1 [Source:HGNC Symbol;Acc:14985]","1",23410516,23504301,"LUZP1","protein_coding","LUZP1","ENSG00000169641"
"ENSG00000125944","heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:5047]","1",23630264,23670829,"HNRNPR","protein_coding","HNRNPR","ENSG00000125944"
"ENSG00000204219","transcription elongation factor A (SII), 3 [Source:HGNC Symbol;Acc:11615]","1",23707554,23751233,"TCEA3","protein_coding","TCEA3","ENSG00000204219"
"ENSG00000007968","E2F transcription factor 2 [Source:HGNC Symbol;Acc:3114]","1",23832922,23857712,"E2F2","protein_coding","E2F2","ENSG00000007968"
"ENSG00000117318","inhibitor of DNA binding 3, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:5362]","1",23884409,23886285,"ID3","protein_coding","ID3","ENSG00000117318"
"ENSG00000197880","myelodysplastic syndrome 2 translocation associated [Source:HGNC Symbol;Acc:29633]","1",23907985,23967058,"MDS2","protein_coding","MDS2","ENSG00000197880"
"ENSG00000142676","ribosomal protein L11 [Source:HGNC Symbol;Acc:10301]","1",24018269,24022915,"RPL11","protein_coding","RPL11","ENSG00000142676"
"ENSG00000011007","transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) [Source:HGNC Symbol;Acc:11620]","1",24069645,24088549,"TCEB3","protein_coding","TCEB3","ENSG00000011007"
"ENSG00000057757","PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 [Source:HGNC Symbol;Acc:25022]","1",24104895,24114722,"PITHD1","protein_coding","PITHD1","ENSG00000057757"
"ENSG00000011009","lysophospholipase II [Source:HGNC Symbol;Acc:6738]","1",24117460,24122029,"LYPLA2","protein_coding","LYPLA2","ENSG00000011009"
"ENSG00000117308","UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:4116]","1",24122089,24127271,"GALE","protein_coding","GALE","ENSG00000117308"
"ENSG00000117305","3-hydroxymethyl-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:5005]","1",24128375,24165110,"HMGCL","protein_coding","HMGCL","ENSG00000117305"
"ENSG00000179163","fucosidase, alpha-L- 1, tissue [Source:HGNC Symbol;Acc:4006]","1",24171567,24194784,"FUCA1","protein_coding","FUCA1","ENSG00000179163"
"ENSG00000188822","cannabinoid receptor 2 (macrophage) [Source:HGNC Symbol;Acc:2160]","1",24197016,24285549,"CNR2","protein_coding","CNR2","ENSG00000188822"
"ENSG00000189266","proline-rich nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:23158]","1",24285599,24289952,"PNRC2","protein_coding","PNRC2","ENSG00000189266"
"ENSG00000188529","serine/arginine-rich splicing factor 10 [Source:HGNC Symbol;Acc:16713]","1",24291294,24307417,"SRSF10","protein_coding","SRSF10","ENSG00000188529"
"ENSG00000001460","sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]","1",24683489,24743424,"STPG1","protein_coding","STPG1","ENSG00000001460"
"ENSG00000001461","NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]","1",24742284,24799466,"NIPAL3","protein_coding","NIPAL3","ENSG00000001461"
"ENSG00000117602","RCAN family member 3 [Source:HGNC Symbol;Acc:3042]","1",24829387,24867530,"RCAN3","protein_coding","RCAN3","ENSG00000117602"
"ENSG00000264443","","1",24865292,24882515,"RP4-594I10.3","lincRNA","RP4-594I10.3","ENSG00000264443"
"ENSG00000133226","serine/arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:16638]","1",24958207,24999758,"SRRM1","protein_coding","SRRM1","ENSG00000133226"
"ENSG00000169504","chloride intracellular channel 4 [Source:HGNC Symbol;Acc:13518]","1",25071848,25170815,"CLIC4","protein_coding","CLIC4","ENSG00000169504"
"ENSG00000020633","runt-related transcription factor 3 [Source:HGNC Symbol;Acc:10473]","1",25226002,25291612,"RUNX3","protein_coding","RUNX3","ENSG00000020633"
"ENSG00000117614","SYF2 pre-mRNA-splicing factor [Source:HGNC Symbol;Acc:19824]","1",25549170,25558993,"SYF2","protein_coding","SYF2","ENSG00000117614"
"ENSG00000117616","chromosome 1 open reading frame 63 [Source:HGNC Symbol;Acc:25234]","1",25568728,25664704,"C1orf63","protein_coding","C1orf63","ENSG00000117616"
"ENSG00000183726","transmembrane protein 50A [Source:HGNC Symbol;Acc:30590]","1",25664408,25688852,"TMEM50A","protein_coding","TMEM50A","ENSG00000183726"
"ENSG00000204178","transmembrane protein 57 [Source:HGNC Symbol;Acc:25572]","1",25757388,25826700,"TMEM57","protein_coding","TMEM57","ENSG00000204178"
"ENSG00000157978","low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:18640]","1",25870071,25895377,"LDLRAP1","protein_coding","LDLRAP1","ENSG00000157978"
"ENSG00000233478","","1",25971035,25985602,"RP1-187B23.1","antisense","RP1-187B23.1","ENSG00000233478"
"ENSG00000162430","selenoprotein N, 1 [Source:HGNC Symbol;Acc:15999]","1",26126667,26144713,"SEPN1","protein_coding","SEPN1","ENSG00000162430"
"ENSG00000117640","mitochondrial fission regulator 1-like [Source:HGNC Symbol;Acc:28836]","1",26145131,26159432,"MTFR1L","protein_coding","MTFR1L","ENSG00000117640"
"ENSG00000182749","progestin and adipoQ receptor family member VII [Source:HGNC Symbol;Acc:23146]","1",26187701,26197744,"PAQR7","protein_coding","PAQR7","ENSG00000182749"
"ENSG00000117632","stathmin 1 [Source:HGNC Symbol;Acc:6510]","1",26210672,26233482,"STMN1","protein_coding","STMN1","ENSG00000117632"
"ENSG00000158006","platelet-activating factor acetylhydrolase 2, 40kDa [Source:HGNC Symbol;Acc:8579]","1",26286258,26324648,"PAFAH2","protein_coding","PAFAH2","ENSG00000158006"
"ENSG00000142684","zinc finger protein 593 [Source:HGNC Symbol;Acc:30943]","1",26496362,26498551,"ZNF593","protein_coding","ZNF593","ENSG00000142684"
"ENSG00000130695","centrosomal protein 85kDa [Source:HGNC Symbol;Acc:25309]","1",26560691,26605299,"CEP85","protein_coding","CEP85","ENSG00000130695"
"ENSG00000142669","SH3 domain binding glutamic acid-rich protein like 3 [Source:HGNC Symbol;Acc:15568]","1",26605667,26608007,"SH3BGRL3","protein_coding","SH3BGRL3","ENSG00000142669"
"ENSG00000158062","UBX domain protein 11 [Source:HGNC Symbol;Acc:30600]","1",26607819,26644854,"UBXN11","protein_coding","UBXN11","ENSG00000158062"
"ENSG00000169442","CD52 molecule [Source:HGNC Symbol;Acc:1804]","1",26644448,26647014,"CD52","protein_coding","CD52","ENSG00000169442"
"ENSG00000176083","zinc finger protein 683 [Source:HGNC Symbol;Acc:28495]","1",26688125,26701013,"ZNF683","protein_coding","ZNF683","ENSG00000176083"
"ENSG00000117682","dehydrodolichyl diphosphate synthase [Source:HGNC Symbol;Acc:20603]","1",26758773,26797785,"DHDDS","protein_coding","DHDDS","ENSG00000117682"
"ENSG00000198830","high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:4986]","1",26798941,26802463,"HMGN2","protein_coding","HMGN2","ENSG00000198830"
"ENSG00000117676","ribosomal protein S6 kinase, 90kDa, polypeptide 1 [Source:HGNC Symbol;Acc:10430]","1",26856252,26901521,"RPS6KA1","protein_coding","RPS6KA1","ENSG00000117676"
"ENSG00000117713","AT rich interactive domain 1A (SWI-like) [Source:HGNC Symbol;Acc:11110]","1",27022524,27108595,"ARID1A","protein_coding","ARID1A","ENSG00000117713"
"ENSG00000204160","zinc finger, DHHC-type containing 18 [Source:HGNC Symbol;Acc:20712]","1",27153201,27184093,"ZDHHC18","protein_coding","ZDHHC18","ENSG00000204160"
